fid,filename,seed,num_nodes,m,num_mobile,num_servers,num_relays,num_jobs,n_instance,runtime,gap_2_bl,gnn_bl_ratio,tau,congest_jobs,method
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,2,0.05625629425048828,0.0,1.0,521.4518503031709,16,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,2,0.002528667449951172,-500.5237066592812,1.633497102563831,20.92814364388976,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,2,0.11059379577636719,-500.73508573681727,1.5828258428201607,20.716764566353643,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,32,3,0.038332462310791016,0.0,1.0,84.07875288259544,3,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,32,3,0.001628875732421875,-68.75139047259547,1.6885766238234787,15.327362409999969,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,32,3,0.10404706001281738,-68.75139047259547,1.6885766238234787,15.327362409999969,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,4,0.05611157417297363,0.0,1.0,629.6829013449652,15,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,4,0.0023076534271240234,-610.921157586655,1.2685007567495752,18.761743758310246,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,4,0.10643625259399414,-611.1314849626438,1.217336041093138,18.551416382321538,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,5,0.056946516036987305,0.0,1.0,741.4059437053738,16,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,5,0.002321004867553711,-722.2590936598147,1.2131889601339128,19.146850045559173,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,58,5,0.10658502578735352,-722.363973014788,1.185745712183602,19.04197069058574,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,60,6,0.057387351989746094,0.0,1.0,737.8318342514083,17,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,60,6,0.002398252487182617,-718.1446006222593,1.314336686773501,19.687233629149105,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,60,6,0.10507869720458984,-718.3595820665528,1.2626355009801886,19.472252184855556,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,64,7,0.05788731575012207,0.0,1.0,512.320854900228,16,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,64,7,0.006166696548461914,-495.51051468150564,1.377950937623258,16.810340218722416,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,64,7,0.11697149276733398,-495.6222886013337,1.3495224464253452,16.698566298894374,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,55,8,0.0707700252532959,0.0,1.0,390.71800673254654,14,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,55,8,0.0022339820861816406,-373.15238831477853,1.264657670471307,17.56561841776797,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,55,8,0.11229801177978516,-373.3583617643618,1.2122151833134513,17.359644968184796,0,GNN
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,9,0.05884671211242676,0.0,1.0,525.8655362083372,14,baseline
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,9,0.0022780895233154297,-506.24047534717636,1.5646847955480472,19.625060861160797,0,local
1,aco_case_seed108_m2_n80_s11.mat,108,80,2,67,11,2,57,9,0.10590314865112305,-506.3807905691662,1.529925955787629,19.484745639170963,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,56,0,0.07943010330200195,0.0,1.0,10.41781692748501,0,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,56,0,0.0022742748260498047,7.4535274778084855,2.021360580077885,17.871344405293495,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,56,0,0.13882040977478027,7.4535274778084855,2.021360580077885,17.871344405293495,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,58,1,0.08245635032653809,0.0,1.0,8.959471736732105,0,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,58,1,0.0026133060455322266,8.66188100194626,2.028360470466257,17.62135273867836,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,58,1,0.13364529609680176,8.591083767788541,2.014921702188241,17.550555504520645,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,77,2,0.10533618927001953,0.0,1.0,229.53546786040783,14,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,77,2,0.0036458969116210938,-210.97304506185986,1.7432786387966441,18.562422798547974,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,77,2,0.1396946907043457,-211.05255757987197,1.729375185450704,18.482910280535847,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,75,3,0.09583473205566406,0.0,1.0,156.82089437241993,7,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,75,3,0.002796173095703125,-138.39963337165827,2.015976394364914,18.421261000761678,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,75,3,0.137984037399292,-138.4660173625923,2.004294397490439,18.354877009827653,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,26,4,0.060717105865478516,0.0,1.0,8.209018852627482,0,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,26,4,0.0016026496887207031,9.50447402764038,2.3461253395088804,17.71349288026786,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,26,4,0.1302330493927002,9.50447402764038,2.3461253395088804,17.71349288026786,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,88,5,0.10399436950683594,0.0,1.0,246.83655333048566,17,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,88,5,0.003047466278076172,-228.98519306993828,1.581699175856986,17.85136026054744,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,88,5,0.1386427879333496,-229.02189272093108,1.5762588462892992,17.814660609554604,0,GNN
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,44,6,0.08317732810974121,0.0,1.0,11.560405199698842,0,baseline
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,44,6,0.0021016597747802734,10.679281475120801,2.3332117768554856,22.239686674819644,0,local
2,aco_case_seed238_m2_n110_s19.mat,238,110,2,89,19,2,44,6,0.13775372505187988,10.574316753369045,2.3146543101204404,22.13472195306789,0,GNN
